reference_month,ticker,value,unit,seasonal_adjustment,report_month,report_release_date,source_id,source_url,table_index_zero_based,observation_role
2025-12,NMFC@SURVEYS,53.8,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-03,services_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/services/august/,2,retrospective_table
2026-01,NAPMC@USECON,52.6,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-01,manufacturing_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/pmi/august/,2,retrospective_table
2026-01,NAPMEI@USECON,48.1,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,4,retrospective_table
2026-01,NAPMII@USECON,47.6,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,6,retrospective_table
2026-01,NAPMNI@USECON,57.1,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,2,retrospective_table
2026-01,NAPMOI@USECON,55.9,diffusion_index,SA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,3,retrospective_table
2026-01,NAPMPI@USECON,59.0,diffusion_index,NSA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,8,retrospective_table
2026-01,NAPMVDI@USECON,54.4,diffusion_index,NSA,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,5,retrospective_table
2026-01,NMFC@SURVEYS,53.8,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-03,services_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/services/august/,2,retrospective_table
2026-02,NAPMC@USECON,52.4,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-01,manufacturing_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/pmi/august/,2,retrospective_table
2026-02,NAPMEI@USECON,48.8,diffusion_index,SA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,4,retrospective_table
2026-02,NAPMII@USECON,48.8,diffusion_index,SA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,6,retrospective_table
2026-02,NAPMNI@USECON,55.8,diffusion_index,SA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,2,retrospective_table
2026-02,NAPMOI@USECON,53.5,diffusion_index,SA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,3,retrospective_table
2026-02,NAPMPI@USECON,70.5,diffusion_index,NSA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,8,retrospective_table
2026-02,NAPMVDI@USECON,55.1,diffusion_index,NSA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,5,retrospective_table
2026-02,NMFC@SURVEYS,56.1,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-03,services_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/services/august/,2,retrospective_table
2026-03,NAPMC@USECON,52.7,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-01,manufacturing_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/pmi/august/,1,retrospective_table
2026-03,NAPMEI@USECON,48.7,diffusion_index,SA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,4,retrospective_table
2026-03,NAPMII@USECON,47.1,diffusion_index,SA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,6,retrospective_table
2026-03,NAPMNI@USECON,53.5,diffusion_index,SA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,2,retrospective_table
2026-03,NAPMOI@USECON,55.1,diffusion_index,SA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,3,retrospective_table
2026-03,NAPMPI@USECON,78.3,diffusion_index,NSA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,8,retrospective_table
2026-03,NAPMVDI@USECON,58.9,diffusion_index,NSA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,5,retrospective_table
2026-03,NMFC@SURVEYS,54.0,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-03,services_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/services/august/,1,retrospective_table
2026-04,NAPMC@USECON,52.7,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-01,manufacturing_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/pmi/august/,1,retrospective_table
2026-04,NAPMEI@USECON,46.4,diffusion_index,SA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,4,retrospective_table
2026-04,NAPMII@USECON,49.0,diffusion_index,SA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,6,retrospective_table
2026-04,NAPMNI@USECON,54.1,diffusion_index,SA,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,2,retrospective_table
